"Category","Overheads"
"Salary Expense",19.13
"Interest Expense ",0.26
"Marketing Expense",1.37
"Rental Expense",3.84
"Overflow Expense - Retail",0.06
"Overflow Expense - Warehouse",0.01
"Penalty Expense",1.6
"Depreciation Expense",5.05
"Maintenance Expense",1.69
"Shipping Expense",58.94
"Human Resource Expense",8.05
